Symbol,Market Cap,Short Float,Shs Float,Shs Outstand,source
BOWX,Not Found,Not Found,Not Found,Not Found,YAHOO
BOWXU,-,0.00%,48.30M,-,FINVIZ
BOXL,137.93M,4.38%,55.19M,57.87M,FINVIZ
BPMC,6.50B,4.83%,58.06M,58.41M,FINVIZ
BPOP,6.41B,1.76%,80.16M,81.61M,FINVIZ
BPTH,34.32M,0.96%,6.93M,6.96M,FINVIZ
BPTS,68.50M,0.01%,10.78M,11.38M,FINVIZ
BPYPM,N/A,N/A,N/A,N/A,YAHOO
BREZ,148.35M,0.01%,12.06M,14.62M,FINVIZ
BREZR,N/A,N/A,9.33M,N/A,YAHOO
BRIVU,N/A,N/A,19.77M,N/A,YAHOO
BRKL,1.24B,2.15%,76.14M,78.15M,FINVIZ
BRKR,12.12B,1.87%,101.55M,151.30M,FINVIZ
BRKS,8.54B,1.75%,73.11M,74.30M,FINVIZ
BRLT,117.68M,1.54%,N/A,9.58M,YAHOO
BRP,3.93B,2.31%,39.01M,44.67M,FINVIZ
BRPMU,-,0.02%,17.67M,-,FINVIZ
BRQS,76.86M,2.23%,57.30M,115.16M,FINVIZ
BRY,774.95M,1.08%,79.39M,80.47M,FINVIZ
BSCL,Not Found,Not Found,Not Found,Not Found,YAHOO
BSCM,Not Found,Not Found,Not Found,Not Found,YAHOO
BSCN,Not Found,Not Found,Not Found,Not Found,YAHOO
BSCO,Not Found,Not Found,Not Found,Not Found,YAHOO
BSCP,Not Found,Not Found,Not Found,Not Found,YAHOO
BSCS,Not Found,Not Found,Not Found,Not Found,YAHOO
BSET,166.03M,4.20%,9.11M,9.78M,FINVIZ
BSGAU,N/A,N/A,N/A,N/A,YAHOO
BSGM,91.69M,5.99%,30.29M,32.17M,FINVIZ
BSJL,Not Found,Not Found,Not Found,Not Found,YAHOO
BSJM,Not Found,Not Found,Not Found,Not Found,YAHOO
BSJN,Not Found,Not Found,Not Found,Not Found,YAHOO
BSJP,Not Found,Not Found,Not Found,Not Found,YAHOO
BSKYU,N/A,N/A,N/A,N/A,YAHOO
BSQR,44.72M,6.26%,17.98M,20.33M,YAHOO
BSY,16.46B,3.83%,204.46M,304.07M,FINVIZ
BTAI,808.93M,9.37%,18.48M,24.96M,FINVIZ
BTAQ,440.52M,0.59%,25.54M,44.19M,FINVIZ
BTAQU,439.67M,N/A,19.71M,N/A,YAHOO
BTB,46.47M,12.95%,7.03M,7.24M,FINVIZ
BTBT,847.59M,25.98%,43.78M,49.74M,FINVIZ
BTCS,74.81M,0.12%,5.69M,230.46M,FINVIZ
BTCY,158.21M,0.50%,31.82M,39.10M,FINVIZ
BTNB,377.50M,2.96%,23.00M,37.38M,FINVIZ
BTRS,1.41B,6.87%,123.78M,163.95M,FINVIZ
BTWN,749.01M,0.53%,59.50M,74.37M,FINVIZ
BTWNU,-,0.00%,53.87M,-,FINVIZ
BTX,470.56M,2.78%,24.28M,42.45M,FINVIZ
BUG,Not Found,Not Found,Not Found,Not Found,YAHOO
BVS,809.51M,3.63%,28.08M,41.80M,FINVIZ
BVXV,31.20M,4.04%,11.12M,14.33M,FINVIZ
BWACU,-,0.00%,10.87M,-,FINVIZ
BWAY,134.56M,0.92%,11.82M,16.45M,FINVIZ
BWCAU,N/A,N/A,N/A,N/A,YAHOO
BWEN,60.59M,5.21%,17.73M,18.76M,FINVIZ
BWMN,168.48M,0.36%,6.44M,11.09M,FINVIZ
BXRX,46.30M,3.62%,69.61M,74.78M,FINVIZ
BYFC,135.47M,3.21%,7.14M,70.16M,FINVIZ
BYND,7.10B,27.48%,56.38M,63.12M,FINVIZ
BYRN,399.01M,5.97%,16.52M,22.05M,FINVIZ
BYSI,553.35M,37.82%,12.24M,39.01M,FINVIZ
BYTS,402.88M,N/A,N/A,33.4M,YAHOO
BYTSU,N/A,N/A,N/A,N/A,YAHOO
BZ,14.40B,9.78%,48.00M,399.95M,FINVIZ
BZUN,1.36B,9.78%,57.95M,73.98M,FINVIZ
CAAS,116.00M,0.98%,11.17M,30.85M,FINVIZ
CABA,327.53M,5.70%,23.75M,24.73M,FINVIZ
CADL,327.92M,0.32%,20.61M,29.20M,FINVIZ
CAKE,2.07B,12.66%,48.62M,52.09M,FINVIZ
CALA,146.87M,2.68%,73.60M,74.06M,FINVIZ
CALM,1.74B,12.38%,37.55M,48.86M,FINVIZ
CAMP,348.92M,2.16%,34.87M,35.15M,FINVIZ
CAMT,1.70B,2.61%,26.67M,43.61M,FINVIZ
CAN,1.56B,7.37%,129.74M,168.22M,FINVIZ
CAPR,89.50M,4.57%,22.51M,22.86M,FINVIZ
CAR,11.50B,20.47%,65.56M,69.90M,FINVIZ
CARA,862.37M,4.88%,43.32M,50.06M,FINVIZ
CARG,4.00B,8.06%,94.52M,117.12M,FINVIZ
CARV,55.57M,2.50%,3.43M,3.55M,YAHOO
CASA,572.61M,3.67%,31.88M,85.04M,FINVIZ
CASH,1.76B,4.61%,29.95M,31.32M,FINVIZ
CASI,153.78M,2.59%,106.54M,139.80M,FINVIZ
CATY,3.27B,1.37%,73.83M,79.17M,FINVIZ
CBAN,251.92M,0.39%,7.85M,9.50M,FINVIZ
CBAT,199.14M,5.14%,53.33M,88.41M,FINVIZ
CBAY,277.41M,3.28%,65.30M,68.99M,FINVIZ
CBIO,104.69M,1.39%,30.29M,31.35M,FINVIZ
CBRL,3.15B,7.79%,23.27M,23.61M,FINVIZ
CBSH,8.12B,2.81%,112.45M,116.16M,FINVIZ
CCAIU,N/A,N/A,N/A,N/A,YAHOO
CCAP,576.87M,0.61%,N/A,28.17M,YAHOO
CCCC,2.10B,6.29%,42.22M,43.85M,FINVIZ
CCEP,24.16B,0.38%,289.06M,455.00M,FINVIZ
CCLP,74.51M,0.43%,29.47M,47.97M,FINVIZ
CCNC,65.56M,0.15%,23.74M,34.68M,FINVIZ
CCOI,3.62B,2.76%,41.92M,46.23M,FINVIZ
CCRN,798.10M,2.55%,35.86M,36.62M,FINVIZ
CCSI,1.31B,5.79%,N/A,20.06M,YAHOO
CCXI,2.46B,9.51%,57.61M,69.79M,FINVIZ
CD,3.66B,15.10%,40.00M,361.94M,FINVIZ
CDAK,334.02M,3.76%,14.37M,22.12M,FINVIZ
CDEV,1.86B,16.27%,182.30M,279.19M,FINVIZ
CDK,5.28B,2.32%,120.56M,121.90M,FINVIZ
CDLX,2.66B,11.39%,32.16M,32.98M,FINVIZ
CDMO,1.87B,8.26%,60.48M,61.14M,FINVIZ
CDNA,2.64B,8.42%,51.59M,52.22M,FINVIZ
CDNS,47.54B,1.00%,272.97M,273.56M,FINVIZ
CDTX,103.62M,1.64%,35.45M,48.68M,FINVIZ
CDW,25.54B,1.07%,136.76M,139.80M,FINVIZ
CDXC,414.85M,7.38%,45.31M,67.99M,FINVIZ
CDXS,2.17B,10.31%,62.95M,64.43M,FINVIZ
CDZI,257.55M,6.18%,34.46M,39.10M,FINVIZ
CEI,359.37M,12.55%,25M,249.56M,YAHOO
CELC,270.41M,1.99%,10.40M,12.61M,FINVIZ
CELH,7.27B,7.43%,38.14M,73.16M,FINVIZ
CELU,850.67M,N/A,33.53M,123.46M,YAHOO
CEMI,66.98M,9.23%,26.92M,28.62M,YAHOO
CENQU,N/A,N/A,N/A,N/A,YAHOO
CENT,2.58B,1.25%,49.79M,53.98M,FINVIZ
CENTA,2.59B,2.17%,49.76M,42.76M,YAHOO
CENX,1.18B,8.85%,50.50M,90.10M,FINVIZ
CERE,5.65B,3.71%,117.37M,127.48M,FINVIZ
CERN,21.98B,4.67%,295.03M,300.74M,FINVIZ
CERS,1.15B,6.48%,167.16M,171.24M,FINVIZ
CERT,6.58B,5.13%,60.46M,147.49M,FINVIZ
CETX,24.32M,0.08%,19.03M,20.78M,YAHOO
CEVA,1.06B,2.81%,21.98M,22.82M,FINVIZ
CFB,710.50M,0.93%,43.50M,51.47M,FINVIZ
CFFEU,-,0.00%,24.58M,-,FINVIZ
CFFN,1.68B,3.42%,128.90M,135.50M,FINVIZ
CFFVU,N/A,N/A,23.81M,N/A,YAHOO
CFIV,622.89M,0.16%,51.00M,63.50M,FINVIZ
CFIVU,-,0.00%,49.76M,-,FINVIZ
CFLT,17.97B,15.54%,27.58M,232.30M,FINVIZ
CFMS,226.92M,2.25%,142.04M,177.67M,FINVIZ
CFRX,149.82M,7.82%,37.42M,39.33M,FINVIZ
CFV,315.63M,N/A,23.81M,25.6M,YAHOO
CFVIU,N/A,N/A,22.09M,N/A,YAHOO
CG,19.62B,5.42%,217.28M,354.51M,FINVIZ
CGABL,N/A,N/A,N/A,N/A,YAHOO
CGC,4.84B,9.72%,250.58M,382.98M,FINVIZ
CGEM,1.02B,7.16%,35.54M,43.30M,FINVIZ
CGEN,581.05M,6.93%,81.42M,83.80M,FINVIZ
CGNT,1.30B,0.85%,66.03M,66.41M,FINVIZ
CGNX,15.65B,1.44%,169.76M,176.63M,FINVIZ
CGRN,92.51M,3.73%,12.51M,13.23M,FINVIZ
CGTX,256.67M,0.15%,14.82M,21.23M,FINVIZ
CHCI,35.32M,0.69%,2.71M,8.21M,FINVIZ
CHDN,8.90B,2.88%,34.13M,38.70M,FINVIZ
CHEF,1.36B,9.92%,33.41M,36.83M,FINVIZ
CHEK,85.85M,5.57%,89.24M,96.41M,YAHOO
CHK,6.23B,11.11%,91.84M,97.93M,FINVIZ
CHKP,15.86B,5.08%,107.76M,133.70M,FINVIZ
CHNG,6.67B,5.37%,309.50M,322.55M,FINVIZ
CHNGU,N/A,N/A,N/A,N/A,YAHOO
CHNR,50.50M,0.43%,10.41M,31.71M,FINVIZ
CHPM,376.88M,1.13%,30.00M,37.50M,FINVIZ
CHRS,1.27B,11.11%,67.70M,75.56M,FINVIZ
CHRW,12.66B,8.08%,130.25M,133.28M,FINVIZ
CHS,681.95M,9.25%,111.93M,117.02M,FINVIZ
CHTR,124.86B,6.23%,124.06M,185.92M,FINVIZ
CHWA,N/A,N/A,N/A,15.68M,YAHOO
CHWY,31.68B,21.38%,83.75M,416.67M,FINVIZ
CHX,5.35B,2.46%,200.24M,201.47M,FINVIZ
CIBR,Not Found,Not Found,Not Found,Not Found,YAHOO
CIDM,425.72M,2.23%,144.81M,167.94M,FINVIZ
CIFR,N/A,N/A,40.3M,247.06M,YAHOO
CIIGU,N/A,N/A,N/A,N/A,YAHOO
CINF,19.19B,3.37%,149.21M,161.10M,FINVIZ
CJJD,29.53M,1.29%,32.32M,41.73M,FINVIZ
CKPT,290.42M,2.71%,63.72M,75.49M,FINVIZ
CLAQR,N/A,N/A,N/A,N/A,YAHOO
CLAR,926.41M,1.89%,21.99M,31.37M,FINVIZ
CLAYU,N/A,N/A,N/A,N/A,YAHOO
CLBK,1.98B,3.47%,37.54M,104.54M,FINVIZ
CLBS,70.23M,2.02%,57.36M,59.51M,FINVIZ
CLBT,2.07B,5.28%,32.86M,75.00M,FINVIZ
CLDX,1.94B,7.50%,39.46M,39.62M,FINVIZ
CLEU,30.08M,3.53%,8.90M,12.33M,FINVIZ
CLF,10.69B,12.48%,455.09M,500.00M,FINVIZ
CLGN,215.60M,0.09%,7.51M,10.20M,FINVIZ
CLIR,55.49M,1.86%,25.19M,31.32M,FINVIZ
CLLS,513.14M,2.51%,38.35M,44.16M,FINVIZ
CLMT,874.08M,0.34%,61.38M,78.93M,FINVIZ
CLNE,2.08B,8.93%,176.67M,207.05M,FINVIZ
CLNN,354.90M,7.87%,20.08M,61.16M,FINVIZ
CLOER,N/A,N/A,N/A,N/A,YAHOO
CLOEU,N/A,N/A,N/A,N/A,YAHOO
CLOU,Not Found,Not Found,Not Found,Not Found,YAHOO
CLOV,1.99B,13.46%,216.71M,408.16M,FINVIZ
CLPS,65.36M,2.04%,8.49M,18.41M,FINVIZ
CLPT,391.31M,4.57%,17.57M,21.52M,FINVIZ
CLRB,53.83M,0.32%,48.91M,52.76M,FINVIZ
CLRMU,N/A,N/A,28.5M,N/A,YAHOO
CLRO,35.19M,1.59%,5.63M,18.78M,FINVIZ
CLSD,318.54M,2.29%,52.60M,57.75M,FINVIZ
CLSK,793.38M,13.64%,33.44M,34.01M,FINVIZ
CLSN,82.34M,2.67%,85.88M,85.92M,FINVIZ
CLVR,188.31M,6.86%,20.13M,25.59M,FINVIZ
CLVS,518.60M,24.76%,102.67M,108.48M,FINVIZ
CLWT,19.04M,5.72%,2.27M,2.58M,FINVIZ
CLXT,125.68M,3.86%,12.82M,37.20M,FINVIZ
CMAX,740.13M,N/A,56.55M,87.07M,YAHOO
CMBM,976.41M,5.85%,11.24M,26.36M,FINVIZ
CMCO,1.35B,1.74%,27.71M,28.34M,FINVIZ
CMCSA,235.22B,1.63%,4.55B,4.60B,FINVIZ
CMCT,200.86M,0.26%,13.69M,15.10M,FINVIZ
CME,78.06B,1.27%,357.53M,358.26M,FINVIZ
CMLT,685.17M,N/A,N/A,55.2M,YAHOO
CMLTU,N/A,N/A,N/A,N/A,YAHOO
CMMB,125.09M,0.10%,11.24M,12.45M,FINVIZ
CMPI,83.35M,0.35%,19.27M,21.62M,FINVIZ
CMPS,1.60B,11.56%,6.70M,39.80M,FINVIZ
CMRX,483.29M,3.62%,75.58M,86.23M,FINVIZ
CMTL,567.51M,2.16%,25.56M,26.07M,FINVIZ
CNCE,91.46M,1.90%,28.08M,33.97M,FINVIZ
CNDT,1.41B,2.39%,202.87M,212.45M,FINVIZ
CNET,52.40M,2.49%,29.43M,32.93M,FINVIZ
CNEY,132.53M,0.11%,4.68M,15.50M,FINVIZ
CNFR,26.88M,0.06%,5.62M,9.69M,FINVIZ
CNSL,753.84M,2.79%,72.53M,78.03M,FINVIZ
CNSP,38.46M,2.12%,17.09M,25.43M,FINVIZ
CNTA,1.44B,12.89%,12.53M,63.52M,FINVIZ
CNTB,910.87M,18.83%,5.42M,57.50M,FINVIZ
CNTG,204.06M,0.64%,9.18M,22.45M,FINVIZ
CNTQU,N/A,N/A,14.39M,N/A,YAHOO
CNTY,442.37M,3.39%,26.99M,29.58M,FINVIZ
CNXC,9.12B,0.78%,42.25M,51.43M,FINVIZ
COCP,88.10M,0.82%,80.08M,87.07M,FINVIZ
CODX,241.78M,7.69%,27.11M,28.79M,FINVIZ
COGT,345.31M,5.71%,33.37M,38.44M,FINVIZ
COHR,6.27B,10.26%,24.12M,24.43M,FINVIZ
COHU,1.56B,2.69%,47.55M,48.55M,FINVIZ
COIN,67.19B,5.93%,88.23M,204.73M,FINVIZ
COLB,2.65B,3.47%,70.43M,70.99M,FINVIZ
COLI,420.74M,0.02%,34.50M,43.12M,FINVIZ
COLIU,-,0.11%,34.50M,-,FINVIZ
COLL,697.85M,10.97%,34.17M,35.30M,FINVIZ
COLM,6.83B,2.34%,38.70M,66.33M,FINVIZ
COMM,2.25B,3.63%,199.33M,204.10M,FINVIZ
COMS,85.43M,0.76%,53.51M,68.77M,FINVIZ
COMT,Not Found,Not Found,Not Found,Not Found,YAHOO
CONE,10.35B,4.16%,121.88M,122.60M,FINVIZ
CONN,662.31M,10.37%,15.39M,29.44M,FINVIZ
CONX,922.75M,0.25%,75.00M,93.75M,FINVIZ
CONXU,-,0.00%,67.58M,-,FINVIZ
COOL,490.98M,0.29%,40.00M,50.00M,FINVIZ
COOLU,-,0.00%,40.00M,-,FINVIZ
COOP,3.79B,5.28%,84.16M,86.14M,FINVIZ
CORT,2.10B,8.05%,104.42M,116.29M,FINVIZ
COST,215.03B,1.05%,440.96M,443.23M,FINVIZ
COUP,17.54B,11.01%,68.90M,73.53M,FINVIZ
COVAU,-,0.00%,22.50M,-,FINVIZ
COWN,1.06B,16.51%,27.88M,29.02M,YAHOO
CPAAU,N/A,N/A,N/A,N/A,YAHOO
CPARU,N/A,N/A,N/A,N/A,YAHOO
CPOP,87.09M,1.83%,11.06M,25.92M,FINVIZ
CPRT,36.72B,0.91%,211.14M,236.68M,FINVIZ
CPRX,625.52M,4.61%,95.62M,103.41M,FINVIZ
CPSH,75.10M,3.86%,9.61M,13.98M,FINVIZ
CPSS,148.82M,1.34%,13.68M,22.84M,FINVIZ
CRBP,135.65M,5.36%,123.96M,125.03M,FINVIZ
CRBU,1.29B,2.36%,54.27M,58.46M,FINVIZ
CRCT,6.60B,22.37%,21.21M,208.21M,FINVIZ
CRDF,236.74M,7.34%,36.50M,38.76M,FINVIZ
CRDL,189.19M,N/A,38.57M,42.95M,YAHOO
CREG,37.82M,1.60%,3.18M,5.70M,FINVIZ
CRESY,642.20M,0.57%,30.86M,59.16M,FINVIZ
CREX,19.48M,0.72%,9.74M,11.85M,FINVIZ
CRIS,591.30M,10.93%,85.89M,91.55M,FINVIZ
CRKN,60.24M,1.23%,12.68M,14.31M,FINVIZ
CRMD,190.51M,5.38%,37.43M,38.08M,FINVIZ
CRNC,4.00B,13.87%,37.80M,37.83M,FINVIZ
CRNT,300.03M,3.14%,68.59M,83.42M,FINVIZ
CRNX,964.79M,4.28%,32.97M,37.06M,FINVIZ
CRON,2.52B,10.67%,193.65M,371.72M,FINVIZ
CROX,9.99B,8.08%,61.84M,62.03M,FINVIZ
CRSP,7.07B,7.27%,66.38M,75.83M,FINVIZ
CRSR,2.33B,13.18%,90.26M,92.79M,FINVIZ
CRTD,32.77M,7.01%,9.79M,11.08M,FINVIZ
CRTO,2.25B,6.35%,58.30M,60.66M,FINVIZ
CRTX,381.61M,13.01%,19.86M,29.59M,FINVIZ
CRUS,4.74B,1.53%,57.20M,57.58M,FINVIZ
CRVS,205.93M,4.74%,37.50M,42.25M,FINVIZ
CRWD,64.46B,5.68%,202.68M,226.36M,FINVIZ
CRXT,91.03M,N/A,2.23M,21.73M,YAHOO
CRZNU,N/A,N/A,N/A,N/A,YAHOO
CSCO,238.55B,0.94%,4.21B,4.22B,FINVIZ
CSCW,84.13M,1.93%,45.69M,90.36M,FINVIZ
CSGP,33.73B,1.02%,391.52M,392.31M,FINVIZ
CSGS,1.63B,3.96%,31.67M,31.88M,FINVIZ
CSII,1.43B,3.09%,38.84M,38.93M,FINVIZ
CSIQ,2.54B,10.32%,46.16M,60.29M,FINVIZ
CSML,Not Found,Not Found,Not Found,Not Found,YAHOO
CSOD,Not Found,Not Found,Not Found,Not Found,YAHOO
CSSE,320.42M,9.31%,8.11M,14.06M,FINVIZ
CSTE,434.05M,1.46%,18.27M,34.45M,FINVIZ
CSTL,1.57B,4.36%,22.80M,25.09M,FINVIZ
CSX,80.60B,1.24%,2.23B,2.24B,FINVIZ
CTAQ,500.83M,0.02%,40.25M,51.21M,FINVIZ
CTAQU,-,0.00%,41.15M,-,FINVIZ
CTAS,44.56B,1.14%,88.08M,103.30M,FINVIZ
CTHR,89.78M,0.36%,25.73M,29.68M,FINVIZ
CTIB,9.09M,0.18%,3.64M,5.89M,FINVIZ
CTIC,245.32M,7.03%,69.48M,92.34M,FINVIZ
CTKB,3.21B,0.75%,28.73M,133.69M,YAHOO
CTLP,879.00M,2.42%,66.36M,71.16M,FINVIZ
CTMX,369.79M,7.20%,62.60M,65.06M,FINVIZ
CTRE,2.02B,2.68%,95.20M,96.08M,FINVIZ
CTRM,228.96M,4.64%,93.41M,94.61M,YAHOO
CTSH,41.09B,1.31%,523.17M,527.00M,FINVIZ
CTSO,264.58M,3.83%,39.70M,43.32M,FINVIZ
CTXR,285.61M,10.60%,133.67M,137.15M,FINVIZ
CTXS,11.81B,3.34%,123.25M,124.23M,FINVIZ
CUE,394.99M,6.60%,29.69M,31.23M,FINVIZ
CUEN,41.16M,0.98%,5.92M,13.44M,FINVIZ
CURI,525.92M,20.90%,28.90M,52.57M,FINVIZ
CUTR,794.64M,9.23%,17.46M,17.86M,FINVIZ
CVAC,7.79B,5.33%,84.22M,194.34M,FINVIZ
CVBF,2.75B,1.87%,128.54M,135.29M,FINVIZ
CVCY,255.75M,0.39%,10.11M,12.50M,FINVIZ
CVET,2.79B,4.15%,103.41M,137.00M,FINVIZ
CVGI,331.42M,3.36%,31.23M,31.46M,FINVIZ
CVGW,697.47M,6.89%,16.64M,17.63M,FINVIZ
CVLG,472.29M,3.14%,10.57M,16.77M,FINVIZ
CVLT,2.83B,2.18%,44.87M,46.18M,FINVIZ
CVLY,214.52M,0.66%,8.78M,9.82M,FINVIZ
CVRX,317.60M,6.05%,11.01M,20.35M,YAHOO
CVV,33.26M,0.77%,5.58M,6.68M,FINVIZ
CWBR,41.68M,4.63%,50.81M,61.86M,FINVIZ
CWCO,168.87M,1.23%,14.45M,15.20M,FINVIZ
CWST,4.36B,1.66%,49.35M,51.37M,FINVIZ
CXDC,41.98M,0.14%,28.71M,70.55M,FINVIZ
CXSE,Not Found,Not Found,Not Found,Not Found,YAHOO
CYAN,18.82M,0.08%,3.69M,6.12M,FINVIZ
CYBE,318.21M,2.78%,7.03M,7.30M,FINVIZ
CYBR,7.17B,6.68%,39.23M,39.56M,FINVIZ
CYCC,47.23M,5.67%,9.03M,9.23M,FINVIZ
CYCN,112.77M,4.39%,28.03M,35.71M,FINVIZ
CYRN,38.90M,8.13%,36.98M,75.48M,FINVIZ
CYRX,3.68B,6.03%,45.20M,45.76M,FINVIZ
CYT,659.63M,7.43%,33.86M,36.83M,FINVIZ
CYTH,38.49M,1.43%,5.56M,6.37M,FINVIZ
CYTK,3.09B,13.65%,83.03M,83.51M,YAHOO
CYTO,23.33M,0.16%,12.91M,13.64M,YAHOO
CYXT,1.67B,14.21%,33.18M,50.53M,FINVIZ
CZR,23.62B,4.09%,204.02M,209.00M,FINVIZ
DADA,4.92B,1.47%,231.78M,237.86M,FINVIZ
DAIO,48.24M,1.29%,7.75M,8.52M,FINVIZ
DAKT,247.86M,2.58%,37.23M,45.14M,FINVIZ
DALS,255.55M,0.09%,N/A,20.65M,YAHOO
DARE,103.69M,2.77%,47.69M,50.44M,FINVIZ
DATS,152.51M,16.32%,14.60M,19.16M,FINVIZ
DAWN,1.52B,4.56%,40.41M,61.93M,FINVIZ
DBDR,295.09M,0.15%,17.37M,28.95M,FINVIZ
DBDRU,N/A,N/A,20.86M,N/A,YAHOO
DBGI,52.87M,5.44%,6.50M,11.04M,FINVIZ
DBTX,203.80M,2.22%,11.13M,24.86M,FINVIZ
DBVT,332.67M,1.68%,61.24M,109.79M,FINVIZ
DBX,12.24B,6.61%,300.47M,388.40M,FINVIZ
DCOM,1.45B,4.21%,37.58M,40.98M,FINVIZ
DCPH,1.91B,5.69%,40.99M,57.99M,FINVIZ
DCRC,448.44M,N/A,N/A,35M,YAHOO
DCRCU,N/A,N/A,N/A,N/A,YAHOO
DCRDU,N/A,N/A,N/A,N/A,YAHOO
DCRN,500.11M,N/A,40.21M,40.25M,YAHOO
DCRNU,-,0.00%,40.21M,-,FINVIZ
DCT,4.19B,2.69%,95.83M,131.61M,FINVIZ
DCTH,82.21M,4.12%,7.22M,7.40M,FINVIZ
DDI,753.84M,1.38%,2.77M,46.39M,FINVIZ
DDMXU,N/A,N/A,N/A,N/A,YAHOO
DDOG,51.32B,6.68%,217.12M,308.02M,FINVIZ
DENN,993.11M,6.14%,62.22M,65.29M,FINVIZ
DFFN,48.95M,0.60%,101.72M,101.90M,FINVIZ
DFH,1.49B,7.22%,16.82M,92.52M,FINVIZ
DFPH,286.06M,0.06%,15.04M,23M,YAHOO
DGII,752.09M,2.02%,33.52M,34.06M,FINVIZ
DGLY,66.63M,15.75%,48.64M,51.51M,FINVIZ
DGNS,283.48M,0.21%,21.45M,35.25M,FINVIZ
DGNU,532.41M,0.02%,43.07M,52.34M,FINVIZ
DGRW,Not Found,Not Found,Not Found,Not Found,YAHOO
DH,6.12B,0.48%,80.69M,152.36M,FINVIZ
DHBCU,-,0.01%,29.52M,-,FINVIZ
DHC,888.63M,2.82%,235.10M,237.87M,FINVIZ
DHCAU,N/A,N/A,N/A,N/A,YAHOO
DHHCU,N/A,N/A,29.63M,N/A,YAHOO
DIBS,625.61M,4.54%,31.32M,37.80M,FINVIZ
DILAU,N/A,N/A,N/A,N/A,YAHOO
DIOD,4.38B,1.63%,43.52M,44.67M,FINVIZ
DISAU,N/A,N/A,N/A,N/A,YAHOO
DISCA,11.67B,5.92%,479.87M,506.00M,FINVIZ
DISCB,12.54B,2.02%,464.33M,6.51M,YAHOO
DISCK,-,2.80%,463.95M,-,FINVIZ
DISH,21.96B,10.58%,248.08M,527.69M,FINVIZ
DKDCU,N/A,N/A,N/A,N/A,YAHOO
DKNG,39.50B,8.75%,377.62M,401.45M,FINVIZ
DLCAU,-,0.00%,18.66M,-,FINVIZ
DLO,15.21B,2.25%,129.13M,292.92M,FINVIZ
DLPN,90.42M,2.11%,6.81M,7.66M,FINVIZ
DLTH,470.45M,6.33%,20.53M,32.62M,FINVIZ
DLTR,24.07B,3.68%,221.90M,228.60M,FINVIZ
DMAC,109.65M,0.59%,16.41M,18.79M,FINVIZ
DMRC,852.44M,17.28%,12.78M,16.43M,FINVIZ
DMTK,809.83M,24.28%,18.81M,28.98M,FINVIZ
DNAA,316.14M,N/A,N/A,25.64M,YAHOO
DNAB,316.13M,0.07%,N/A,25.64M,YAHOO
DNAC,315.49M,N/A,N/A,25.64M,YAHOO
DNAD,314.86M,N/A,N/A,25.64M,YAHOO
DNAY,280.34M,3.59%,13.86M,29.29M,FINVIZ
DNLI,5.68B,5.99%,100.97M,121.29M,FINVIZ
DNUT,2.16B,5.42%,87.27M,163.60M,FINVIZ
DOCU,55.77B,3.49%,192.37M,196.00M,FINVIZ
DOGZ,106.82M,1.88%,20.30M,25.91M,FINVIZ
DOMO,2.87B,7.04%,27.60M,31.88M,FINVIZ
DOX,10.20B,1.98%,124.48M,125.77M,FINVIZ
DOYU,1.01B,2.02%,304.26M,325.20M,FINVIZ
DPRO,122.64M,1.28%,25.57M,26.98M,FINVIZ
DRAYU,N/A,N/A,N/A,N/A,YAHOO
DRIO,272.88M,5.82%,14.53M,15.69M,FINVIZ
DRIV,Not Found,Not Found,Not Found,Not Found,YAHOO
DRMA,35.40M,1.91%,4.3M,8.33M,YAHOO
DRNA,1.56B,6.09%,71.34M,77.03M,FINVIZ
DRRX,293.73M,3.19%,224.24M,227.43M,FINVIZ
DRTT,271.02M,2.44%,36.71M,84.69M,FINVIZ
DRVN,5.20B,4.28%,41.48M,162.63M,FINVIZ
DSACU,N/A,N/A,9.89M,N/A,YAHOO
DSEY,5.18B,0.93%,292.39M,300.80M,FINVIZ
DSGN,862.71M,3.52%,39.17M,55.08M,FINVIZ
DSKE,617.75M,7.52%,39.15M,64.84M,FINVIZ
DSP,792.30M,6.26%,12.79M,58.94M,FINVIZ
DSPG,538.05M,6.72%,22.57M,24.20M,FINVIZ
DTEA,93.58M,4.66%,14.26M,26.30M,FINVIZ
DTIL,564.75M,4.09%,52.90M,57.74M,FINVIZ
DTOC,406.45M,N/A,33.35M,33.35M,YAHOO
DTOCU,-,0.02%,33.35M,-,FINVIZ
DTRTU,N/A,N/A,N/A,N/A,YAHOO
DTSS,53.55M,0.16%,8.91M,21.47M,FINVIZ
DTST,28.30M,6.46%,3.92M,3.98M,FINVIZ
DUNE,213.44M,0.47%,17.25M,21.56M,FINVIZ
DUNEU,-,0.00%,6.80M,-,FINVIZ
DUO,85.44M,0.32%,24.70M,80.61M,FINVIZ
DUOL,6.49B,10.54%,12.56M,37.39M,FINVIZ
DVAX,2.38B,17.24%,114.45M,114.63M,FINVIZ
DVY,Not Found,Not Found,Not Found,Not Found,YAHOO
DWAC,3.39B,N/A,N/A,28.75M,YAHOO
DWACU,N/A,N/A,N/A,N/A,YAHOO
DWSN,56.07M,0.24%,20.55M,23.53M,FINVIZ
DXCM,60.46B,3.61%,96.25M,96.70M,FINVIZ
DXLG,450.42M,1.58%,55.55M,63.53M,FINVIZ
DXYN,73.81M,1.53%,13.09M,15.12M,FINVIZ
DYAI,125.52M,4.61%,19.86M,27.64M,FINVIZ
